date,open,high,low,close,volume,return_1d,vol_5d,sma_5,sma_20,sent_count,sent_mean,sent_median,sent_std,sent_pos_share,sent_neg_share
2025-08-01,117833.24087995925,117833.24087995925,115700.00243915782,115700.00243915782,45238249453.35885,-0.01810387650268086,0.01173208942511867,117761.75366304966,118206.0140525311,0,0.0,0.0,0.0,0.0,0.0
2025-08-02,115700.00243915782,115700.00243915782,113234.6051343189,113234.6051343189,65794680822.25255,-0.02130853286831491,0.009596148988976488,116524.89187963051,117996.7964367432,0,0.0,0.0,0.0,0.0,0.0
2025-08-03,113234.6051343189,113234.6051343189,112554.90232221723,112554.90232221723,33543439044.09785,-0.006002606811719935,0.009751610773269056,115435.21194085828,117668.66371969024,0,0.0,0.0,0.0,0.0,0.0
2025-08-04,112554.90232221723,114199.10966460757,112554.90232221723,114199.10966460757,24689273719.085533,0.014608047348158903,0.014485693466301271,114704.37208805214,117386.93547956445,0,0.0,0.0,0.0,0.0,0.0
2025-08-05,114199.10966460757,115138.68613070177,114199.10966460757,115138.68613070177,32488023582.82734,0.00822752882096589,0.015787307097165845,114165.46113820067,117259.96003939738,0,0.0,0.0,0.0,0.0,0.0
2025-08-06,115138.68613070177,115138.68613070177,114128.35408881678,114128.35408881678,37316213251.97167,-0.00877491376563122,0.014257070363025842,113851.13146813246,117028.96960699947,0,0.0,0.0,0.0,0.0,0.0
2025-08-07,114128.35408881678,115022.09576830892,114128.35408881678,115022.09576830892,32052509631.058872,0.007831022243575125,0.01006168510295447,114208.62959493045,116807.8061351979,0,0.0,0.0,0.0,0.0,0.0
2025-08-08,115022.09576830892,117463.47451085235,115022.09576830892,117463.47451085235,38289687095.00489,0.02122530220159735,0.011159187261703205,115190.34403265748,116781.53252851262,0,0.0,0.0,0.0,0.0,0.0
2025-08-09,117463.47451085235,117463.47451085235,116688.36663186055,116688.36663186055,33017415812.97353,-0.006598714044681042,0.01228882761048666,115688.19542610808,116720.8695321552,0,0.0,0.0,0.0,0.0,0.0
2025-08-10,116688.36663186055,116688.36663186055,116510.08393213755,116510.08393213755,27638785406.21056,-0.0015278532459491734,0.012300069039903855,115962.47498639522,116683.52768764866,0,0.0,0.0,0.0,0.0,0.0
2025-08-11,116510.08393213755,119266.92516880555,116510.08393213755,119266.92516880555,37157754754.85189,0.02366182517106208,0.013415623849441451,116990.18920239298,116772.7504572053,0,0.0,0.0,0.0,0.0,0.0
2025-08-12,119266.92516880555,119266.92516880555,118773.79960860992,118773.79960860992,61739781527.95854,-0.004134637993707724,0.014666951451102894,117740.52997045316,116713.65065233195,0,0.0,0.0,0.0,0.0,0.0
2025-08-13,118773.79960860992,120202.53485503166,118773.79960860992,120202.53485503166,46941089789.57991,0.012029043872721079,0.01282344173832892,118288.34203928904,116792.32460101834,0,0.0,0.0,0.0,0.0,0.0
2025-08-14,120202.53485503166,123560.99363577305,120202.53485503166,123560.99363577305,61818118105.53991,0.027939999641370283,0.014427287141255865,119662.86744007154,117052.65252408767,0,0.0,0.0,0.0,0.0,0.0
2025-08-15,123560.99363577305,123560.99363577305,118405.59579823953,118405.59579823953,73822008367.99681,-0.041723505823612395,0.028195725148433486,120041.96981329194,117095.89189545678,0,0.0,0.0,0.0,0.0,0.0
